FUND_ID,FUND_NAME,PARENT_COMPANY_ID,PARENT_COMPANY_NAME,FUND_CLASSIFICATION,REPORT_PERIOD,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,PARENT_COMPANY_LEGAL_ID,CURRENT_DATE
"1","איי. די. איי. חברה לביטוח בע""מ מסלול אג""ח ממשלות","60","ישיר -איי. די. איי. חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202411","84.08","1.01","","1.52","4.61","6.44","12.74","2.10","2.43","2.01","0.48","0.22","89.60","1.92","8.02","11.38","513910703","12/29/2024 12:00:00 AM"
"4","כלל-אשראי ואג""ח","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202401","2329.59","1.29","2.83","0.13","0.13","3.47","12.02","1.14","2.30","3.60","0.24","0.12","73.70","21.88","553.82","272.52","520024647","12/29/2024 12:00:00 AM"
"4","כלל-אשראי ואג""ח","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202402","2302.94","1.29","2.83","0.25","0.38","4.01","11.58","1.32","2.22","3.60","0.24","0.09","73.60","22.52","584.69","244.94","520024647","12/29/2024 12:00:00 AM"
"4","כלל-אשראי ואג""ח","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202403","2300.04","1.29","2.83","0.68","1.06","4.06","11.41","1.34","2.18","3.60","0.24","0.09","73.50","22.96","570.33","183.06","520024647","12/29/2024 12:00:00 AM"
"4","כלל-אשראי ואג""ח","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202404","2276.39","1.29","2.83","-0.19","0.87","3.46","10.68","1.14","2.05","3.60","0.36","0.02","73","21.76","607.26","179.65","520024647","12/29/2024 12:00:00 AM"
"4","כלל-אשראי ואג""ח","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202405","2251.41","1.29","2.83","0.15","1.02","2.84","10.51","0.94","2.02","3.60","0.24","-0.01","72.70","21.19","616.42","228.65","520024647","12/29/2024 12:00:00 AM"
"4","כלל-אשראי ואג""ח","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202406","2232.73","1.29","2.83","0.07","1.09","2.69","9.84","0.89","1.89","3.57","0.24","-0.06","72.70","22.25","612.51","246.64","520024647","12/29/2024 12:00:00 AM"
"4","כלל-אשראי ואג""ח","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202407","2558.38","1.29","2.83","0.99","2.09","3.51","9.87","1.16","1.90","3.57","0.24","-0.02","74.60","26.28","690.57","270.73","520024647","12/29/2024 12:00:00 AM"
"4","כלל-אשראי ואג""ח","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202408","2549.79","1.29","2.83","0.94","3.05","3.74","10.06","1.23","1.94","3.60","","-0.04","74.30","80.09","561.45","283.84","520024647","12/29/2024 12:00:00 AM"
"4","כלל-אשראי ואג""ח","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202409","2538.94","1.29","2.83","0.61","3.68","4.17","10.46","1.37","2.01","3.60","0.24","0.04","74","82.51","584.26","294.99","520024647","12/29/2024 12:00:00 AM"
"4","כלל-אשראי ואג""ח","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202410","2524.04","1.29","2.83","0.57","4.27","4.54","10.50","1.49","2.02","3.60","0.24","0.04","73.90","84.45","649.88","283.71","520024647","12/29/2024 12:00:00 AM"
"4","כלל-אשראי ואג""ח","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202411","2527.90","1.29","2.83","1.19","5.51","5.59","11.79","1.83","2.25","3.64","0.36","0.13","74.50","83.58","674.36","239.32","520024647","12/29/2024 12:00:00 AM"
"6","כלל חברה לביטוח בע""מ אשראי ואג""ח עם מניות (עד 25% מניות)","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202401","10262.40","0.91","2.63","-0.02","-0.02","6.45","18.77","2.11","3.50","4.78","0.60","0.31","70.80","1450.65","4151.78","1497.39","520024647","12/29/2024 12:00:00 AM"
"6","כלל חברה לביטוח בע""מ אשראי ואג""ח עם מניות (עד 25% מניות)","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202402","10196.36","0.91","2.63","0.72","0.70","7.01","18.65","2.28","3.48","4.75","0.60","0.32","71.20","1505.04","4059.24","1473.89","520024647","12/29/2024 12:00:00 AM"
"6","כלל חברה לביטוח בע""מ אשראי ואג""ח עם מניות (עד 25% מניות)","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202403","10173","0.91","2.63","1.18","1.89","7.07","19.05","2.30","3.55","4.78","0.48","0.36","71","1492.45","3907.29","1538.42","520024647","12/29/2024 12:00:00 AM"
"6","כלל חברה לביטוח בע""מ אשראי ואג""ח עם מניות (עד 25% מניות)","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202404","9994.17","0.91","2.63","-0.56","1.32","5.65","17.34","1.85","3.25","4.78","0.60","0.26","70.50","1426.30","3995.14","1496.02","520024647","12/29/2024 12:00:00 AM"
"6","כלל חברה לביטוח בע""מ אשראי ואג""ח עם מניות (עד 25% מניות)","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202405","9896.03","0.91","2.63","0.40","1.72","4.94","18.20","1.62","3.40","4.78","0.60","0.27","70.30","1470.26","4079.41","1485.29","520024647","12/29/2024 12:00:00 AM"
"6","כלל חברה לביטוח בע""מ אשראי ואג""ח עם מניות (עד 25% מניות)","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202406","9791.06","0.91","2.63","0.28","2.01","4.98","17.04","1.63","3.20","4.75","0.60","0.23","71.70","2949.69","4558.62","1544.46","520024647","12/29/2024 12:00:00 AM"
"6","כלל חברה לביטוח בע""מ אשראי ואג""ח עם מניות (עד 25% מניות)","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202407","1892.97","0.91","2.63","0.96","2.99","5.73","17.16","1.87","3.22","4.75","0.60","0.26","70.40","402.70","675.84","321.34","520024647","12/29/2024 12:00:00 AM"
"6","כלל חברה לביטוח בע""מ אשראי ואג""ח עם מניות (עד 25% מניות)","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202408","1913.96","0.91","2.63","0.84","3.85","5.67","17.71","1.86","3.31","4.75","","0.25","70.10","148.78","508.38","311.15","520024647","12/29/2024 12:00:00 AM"
"6","כלל חברה לביטוח בע""מ אשראי ואג""ח עם מניות (עד 25% מניות)","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202409","1893.98","0.91","2.63","0.76","4.64","6.41","18.06","2.09","3.38","4.78","0.48","0.31","69.30","73.48","487.46","335.28","520024647","12/29/2024 12:00:00 AM"
"6","כלל חברה לביטוח בע""מ אשראי ואג""ח עם מניות (עד 25% מניות)","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202410","1870.25","0.91","2.63","0.41","5.07","5.95","17.44","1.95","3.27","4.75","0.48","0.28","68.70","59.35","514.28","335.07","520024647","12/29/2024 12:00:00 AM"
"6","כלל חברה לביטוח בע""מ אשראי ואג""ח עם מניות (עד 25% מניות)","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202411","1850.30","0.91","2.63","0.73","5.84","6.51","17.95","2.12","3.36","4.75","0.36","0.30","68.40","59.42","497.87","314.07","520024647","12/29/2024 12:00:00 AM"
"7","כלל-כללי 2","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202401","1125.50","0.97","2.29","-0.14","-0.14","11.91","33.32","3.82","5.92","8.38","0.96","0.46","73.80","523.14","596.66","278.01","520024647","12/29/2024 12:00:00 AM"
"7","כלל-כללי 2","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202402","1136.58","0.97","2.29","2.21","2.07","12.99","34.43","4.15","6.10","8.42","0.84","0.51","74.10","546.13","628.84","280.51","520024647","12/29/2024 12:00:00 AM"
"7","כלל-כללי 2","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202403","1146.51","0.97","2.29","2.39","4.51","13.70","36.43","4.37","6.41","8.45","0.84","0.58","73.50","556.05","653.91","293.87","520024647","12/29/2024 12:00:00 AM"
"7","כלל-כללי 2","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202404","1120.50","0.97","2.29","-1.48","2.96","10.29","31.86","3.32","5.69","8.45","0.84","0.47","73","527.89","629.93","274.49","520024647","12/29/2024 12:00:00 AM"
"7","כלל-כללי 2","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202405","1112.31","0.97","2.29","1.11","4.10","9.48","35.69","3.07","6.29","8.42","1.08","0.52","72.50","551.77","661.35","279.23","520024647","12/29/2024 12:00:00 AM"
"7","כלל-כללי 2","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202406","1107.71","0.97","2.29","0.69","4.82","10.02","33.47","3.23","5.94","8.38","1.08","0.50","73.60","685.81","709.75","285.88","520024647","12/29/2024 12:00:00 AM"
"9","כלל חברה לביטוח בע""מ מניות ","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202401","2415.88","0.82","1.32","-0.18","-0.18","12.43","44.86","3.98","7.69","15.52","-0.48","0.39","90.60","2303.92","1640.61","794.08","520024647","12/29/2024 12:00:00 AM"
"9","כלל חברה לביטוח בע""מ מניות ","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202402","2511.22","0.82","1.32","4.84","4.65","15.02","48.50","4.78","8.23","15.62","-0.72","0.47","90.60","2487.63","1732.26","811.40","520024647","12/29/2024 12:00:00 AM"
"9","כלל חברה לביטוח בע""מ מניות ","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202403","2580.28","0.82","1.32","3.91","8.74","17.18","53.05","5.43","8.88","15.69","-0.84","0.54","90.80","2530.52","1769.57","852.57","520024647","12/29/2024 12:00:00 AM"
"9","כלל חברה לביטוח בע""מ מניות ","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202404","2478.76","0.82","1.32","-3.04","5.44","10.40","43.35","3.35","7.47","15.73","-0.72","0.43","91.20","2388.75","1676.72","787.16","520024647","12/29/2024 12:00:00 AM"
"9","כלל חברה לביטוח בע""מ מניות ","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202405","2497.50","0.82","1.32","1.98","7.53","9.48","52.46","3.07","8.80","15.59","-0.36","0.49","91","2490.29","1725.91","805.97","520024647","12/29/2024 12:00:00 AM"
"9","כלל חברה לביטוח בע""מ מניות ","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202406","2507.29","0.82","1.32","1.17","8.78","10.43","47.54","3.36","8.09","15.48","-0.12","0.47","91","2491.07","1812.15","824.50","520024647","12/29/2024 12:00:00 AM"
"9","כלל חברה לביטוח בע""מ מניות ","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202407","2522.05","0.82","1.32","1.87","10.82","13.49","48.96","4.31","8.30","15.52","-0.72","0.50","91.30","2607.84","1839.71","751.08","520024647","12/29/2024 12:00:00 AM"
"9","כלל חברה לביטוח בע""מ מניות ","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202408","2544.87","0.82","1.32","1.85","12.87","12.23","54.87","3.92","9.14","15.45","","0.51","91.40","2645.02","1826.77","780.17","520024647","12/29/2024 12:00:00 AM"
"9","כלל חברה לביטוח בע""מ מניות ","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202409","2567.20","0.82","1.32","2.14","15.28","16.74","54.89","5.29","9.15","15.45","-0.72","0.57","91.10","2634.61","1848.21","830.02","520024647","12/29/2024 12:00:00 AM"
"9","כלל חברה לביטוח בע""מ מניות ","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202410","2560.26","0.82","1.32","0.63","16.01","11.75","51.31","3.77","8.64","15.42","-0.60","0.55","90.70","2545.28","1782.25","754.52","520024647","12/29/2024 12:00:00 AM"
"9","כלל חברה לביטוח בע""מ מניות ","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202411","2638.06","0.82","1.32","3.65","20.24","16.81","53.80","5.32","8.99","15.48","-0.48","0.61","90.60","2688.44","1895.78","781.43","520024647","12/29/2024 12:00:00 AM"
"28","כלל-שקלי","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202401","361.13","3.79","2.49","-0.07","-0.07","-2.64","5.08","-0.89","1","3.95","-0.24","-0.21","84.30","2.73","34.01","20.35","520024647","12/29/2024 12:00:00 AM"
"28","כלל-שקלי","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202402","362.43","3.79","2.49","0.44","0.37","-1.04","5.01","-0.35","0.98","3.95","-0.24","-0.21","84.20","2.92","41.48","20.67","520024647","12/29/2024 12:00:00 AM"
"28","כלל-שקלי","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202403","358.95","3.79","2.49","0.39","0.76","-0.88","4.79","-0.29","0.94","3.95","-0.12","-0.22","84.20","3.03","38.15","20.72","520024647","12/29/2024 12:00:00 AM"
"28","כלל-שקלי","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202404","351.92","3.79","2.49","-1.07","-0.32","-2","3.58","-0.67","0.71","3.98","-0.12","-0.34","84.20","2.86","49.89","19.39","520024647","12/29/2024 12:00:00 AM"
"28","כלל-שקלי","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202405","344.24","3.79","2.49","-0.50","-0.82","-2.47","2.56","-0.83","0.51","3.98","-0.24","-0.42","84.30","2.55","48.01","20.53","520024647","12/29/2024 12:00:00 AM"
"28","כלל-שקלי","14","כלל חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202406","338.71","3.79","2.49","0.45","-0.37","-2.35","2.47","-0.79","0.49","3.98","-0.12","-0.42","84.20","2.49","42.09","20.13","520024647","12/29/2024 12:00:00 AM"
"40","מנורה מבטחים ביטוח בע""מ שיקלי ","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202401","0","","","","","","","","","","","","100","","","","520042540","12/29/2024 12:00:00 AM"
"40","מנורה מבטחים ביטוח בע""מ שיקלי ","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202402","0","","","","","","","","","","","","100","","","","520042540","12/29/2024 12:00:00 AM"
"40","מנורה מבטחים ביטוח בע""מ שיקלי ","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202403","0","","","","","","","","","","","","100","","","","520042540","12/29/2024 12:00:00 AM"
"40","מנורה מבטחים ביטוח בע""מ שיקלי ","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202404","0","","","","","","","","","","","","100","","","","520042540","12/29/2024 12:00:00 AM"
"40","מנורה מבטחים ביטוח בע""מ שיקלי ","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202405","0","","","","","","","","","","","","100","","","","520042540","12/29/2024 12:00:00 AM"
"40","מנורה מבטחים ביטוח בע""מ שיקלי ","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202406","0","","","","","","","","","","","","100","","","","520042540","12/29/2024 12:00:00 AM"
"40","מנורה מבטחים ביטוח בע""מ שיקלי ","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202408","0","","","","","","","","","","","","100","","","","520042540","12/29/2024 12:00:00 AM"
"40","מנורה מבטחים ביטוח בע""מ שיקלי ","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202411","0","","","","","","","","","","","","100","","","","520042540","12/29/2024 12:00:00 AM"
"41","מנורה מבטחים ביטוח בע""מ כספי (שקלי)","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202401","171.79","0.86","2.95","0.40","0.40","4.12","4.63","1.35","0.91","0.59","-0.24","-0.95","100","","","","520042540","12/29/2024 12:00:00 AM"
"41","מנורה מבטחים ביטוח בע""מ כספי (שקלי)","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202402","167.29","0.86","2.95","0.34","0.74","4.51","4.93","1.48","0.97","0.59","-0.24","-0.97","100","","","","520042540","12/29/2024 12:00:00 AM"
"41","מנורה מבטחים ביטוח בע""מ כספי (שקלי)","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202403","168.30","0.86","2.95","0.36","1.10","4.88","5.27","1.60","1.03","0.62","-0.24","-0.96","100","","","","520042540","12/29/2024 12:00:00 AM"
"41","מנורה מבטחים ביטוח בע""מ כספי (שקלי)","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202404","171.09","0.86","2.95","0.35","1.46","5.26","5.64","1.72","1.10","0.62","-0.24","-0.95","100","","","","520042540","12/29/2024 12:00:00 AM"
"41","מנורה מבטחים ביטוח בע""מ כספי (שקלי)","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202405","172.78","0.86","2.95","0.34","1.80","5.61","5.97","1.84","1.17","0.62","-0.24","-0.96","100","","","","520042540","12/29/2024 12:00:00 AM"
"41","מנורה מבטחים ביטוח בע""מ כספי (שקלי)","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202406","174.06","0.86","2.95","0.36","2.17","6","6.32","1.96","1.23","0.62","-0.24","-0.96","100","","","","520042540","12/29/2024 12:00:00 AM"
"41","מנורה מבטחים ביטוח בע""מ כספי (שקלי)","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202407","171.67","0.86","2.95","0.38","2.56","6.39","6.70","2.09","1.31","0.66","-0.12","-0.93","100","","","","520042540","12/29/2024 12:00:00 AM"
"41","מנורה מבטחים ביטוח בע""מ כספי (שקלי)","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202408","175.48","0.86","2.95","0.32","2.89","6.72","6.97","2.19","1.36","0.66","","-0.93","100","","","","520042540","12/29/2024 12:00:00 AM"
"41","מנורה מבטחים ביטוח בע""מ כספי (שקלי)","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202409","179.96","0.86","2.95","0.36","3.26","7.13","7.34","2.32","1.43","0.66","-0.12","-0.95","100","","","","520042540","12/29/2024 12:00:00 AM"
"41","מנורה מבטחים ביטוח בע""מ כספי (שקלי)","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202410","179.65","0.86","2.95","0.39","3.66","7.55","7.75","2.46","1.50","0.66","-0.12","-0.91","100","","","","520042540","12/29/2024 12:00:00 AM"
"41","מנורה מבטחים ביטוח בע""מ כספי (שקלי)","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202411","180.32","0.86","2.95","0.32","3.99","7.82","8.07","2.54","1.56","0.69","-0.24","-0.94","100","","","","520042540","12/29/2024 12:00:00 AM"
"42","מנורה מבטחים ביטוח בע""מ אשראי ואג""ח","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202401","866.90","0.96","2.29","0.17","0.17","3.18","9.52","1.05","1.84","4.64","-0.60","0.01","84.20","0","84.58","105.57","520042540","12/29/2024 12:00:00 AM"
"42","מנורה מבטחים ביטוח בע""מ אשראי ואג""ח","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202402","858.10","0.96","2.29","0.27","0.44","3.49","8.67","1.15","1.68","4.64","-0.72","-0.02","84.40","0","80.47","101.79","520042540","12/29/2024 12:00:00 AM"
"42","מנורה מבטחים ביטוח בע""מ אשראי ואג""ח","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202403","855.02","0.96","2.29","0.67","1.11","3.21","8.41","1.06","1.63","4.64","-0.72","-0.01","84.40","0","82.35","103.65","520042540","12/29/2024 12:00:00 AM"
"42","מנורה מבטחים ביטוח בע""מ אשראי ואג""ח","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202404","843.16","0.96","2.29","-0.31","0.80","2.35","7.33","0.78","1.42","4.64","-0.72","-0.08","84.30","0","83.01","104.61","520042540","12/29/2024 12:00:00 AM"
"42","מנורה מבטחים ביטוח בע""מ אשראי ואג""ח","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202405","847.83","0.96","2.29","-0.16","0.64","1.33","6.86","0.44","1.34","4.64","-0.84","-0.13","84.10","0","83.94","106.85","520042540","12/29/2024 12:00:00 AM"
"42","מנורה מבטחים ביטוח בע""מ אשראי ואג""ח","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202406","836.05","0.96","2.29","0.24","0.88","1.28","6.27","0.42","1.22","4.61","-0.72","-0.16","83.90","0","84.92","107.25","520042540","12/29/2024 12:00:00 AM"
"42","מנורה מבטחים ביטוח בע""מ אשראי ואג""ח","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202407","844.27","0.96","2.29","0.92","1.81","1.75","6.21","0.58","1.21","4.61","-0.72","-0.13","84","0","86.47","109.67","520042540","12/29/2024 12:00:00 AM"
"42","מנורה מבטחים ביטוח בע""מ אשראי ואג""ח","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202408","841.03","0.96","2.29","1","2.83","1.85","7.70","0.61","1.49","4.64","","-0.12","83.80","0","85.79","108.64","520042540","12/29/2024 12:00:00 AM"
"42","מנורה מבטחים ביטוח בע""מ אשראי ואג""ח","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202409","829.67","0.96","2.29","0.58","3.42","2.37","7.58","0.78","1.47","4.64","-0.60","-0.06","83.70","0","88.56","110.15","520042540","12/29/2024 12:00:00 AM"
"42","מנורה מבטחים ביטוח בע""מ אשראי ואג""ח","18","מנורה מבטחים חברה לביטוח בע""מ","פוליסות שהונפקו החל משנת 2004","202410","830.69","0.96","2.29","0.40","3.84","2.16","7.73","0.71","1.50","4.64","-0.60","-0.07","83.80","0","87.43","108.81","520042540","12/29/2024 12:00:00 AM"
